Lyric,Artist,Title
while you're creepin' 'round on me x8 how long has has has has how long has has hasthis been goin' on you've been creepin' 'round on me while you're callin' me baby how long has this been goin' on you've been actin' so shady i've been feelin' it lately baby i'll admit i was wrong what else can i say girl can't you blame my head and not my heart i was drunk i was gone that don't make it right but promise there were no feelings involved mmh pre she said boy tell me honestly was it real or just for show yeah she said save your apologies baby i just gotta know how long creepin' 'round on me creepin' 'roundme me x7 creepin' 'roundme post ooooh ooooh ooooh ooooh ooooh i'll admit it's my fault but you gotta believe me when i say it only happened once mmm i try and i try but you'll never see that you're the only one i wanna love oh yeah pre she said boy tell me honestly was it real or just for show yeah she said save your apologies baby i just gotta know while you're creepin' 'round on me while you're creepin' 'round on me while you're creepin' 'round on me while you're creepin' 'round on me while you're creepin' 'round on me while you're creepin' 'round on me while you're creepin' 'round on me while you're creepin' 'round on me how long has has has hasthis been goin' on how long creepin' 'round on me creepin' 'roundme me creepin' 'roundme me creepin' 'roundme me creepin' 'roundme me creepin' 'roundme me creepin' 'roundme me creepin' 'roundme me creepin' 'roundme how long has has been go go goin' how long has has been go go goin' creepin' 'roundme me while you're creepin' roundme me while you're creepin' round how how long has how long has creepin' 'roundme me how long has creepin' 'roundme me,Charlie Puth,How Long (Jerry Folk Remix)
spoken hello ladies i may have had to use a pitch bender to make my voice sound lower than it really is but i just wanted to tell you that that i am so hot hot hot hot nothing can cool me down yeah no one's got a swagger like swagger like swagger like me baby if you think you're hot hot hot hot you better step aside yeah 'cause when i step outside outside i'm bound to start a forest fire i'm so hot that in cold weather you're gonna wanna take off your sweater no need for hats and gloves charlie puth is gonna warm you up with his love or maybe not what the hell's a fireplace who knows if you're chilly you will really want me in your face hello there fishes were coldblooded at one time but that all changed when i went for a dive pre halle berry and the sun have got nothing on me i'm a lot like baking cookies except there's no need to preheat me at threehundredfifty did i mention that i i am so hot hot hot nothing can cool me down yeah no one's got a swagger like swagger like swagger like me baby if you think you're hot hot hot you better step aside yeah 'cause when i step outside i'm bound to start a forest fire dj turn me up is something someone said who is not really hot in comparison to me who is dripping with hot man i can't help you with something that you're not good god you're ugly sunburned people and polar ice caps they all hatin' on me they wack but alligators jersey shore guidos and photosynthesis they all got my back bitch pre emma watson and the microwave ain't got nothing on me i'm a lot like baking cookies except there's no need to preheat me at threehundredfifty oh um oh yeah i am so hot hot hot nothing can cool me down yeah no one's got a swagger like swagger like swagger like me baby if you think you're hot hot hot you better step aside yeah 'cause when i step outside i'm bound to start a forest fire i am so hot hot hot,Charlie Puth,I’m So Hot
you sing yourself to sleep at night melodies behind closed doors i'm over by the corner listening to you from the second floor i open up the curtains to hear the thunder and the rain we dropped off all the flowers to wash away the pain wanna go with you anywhere anywhere wanna go with you anywhere i'm sorry i kept you waiting i have no excuse there's no room for debating why it took so long to get back to you 4 but these tangerine dreams will not go away i build them right up and mold them out of clay they just give me company now i take everyday with a deep breath 'cause i found out the hard way when he left suffering silently these last couple days i haven't been myself 'cause i know i won't be seeing you on commonwealth again commonwealth again these last couple days i haven't been myself 'cause i know i won't be seeing you on commonwealth again commonwealth again,Charlie Puth,Tangerine Dreams
oh im facing the bottle oh for all of my problems oh these instagram models oh are nothing but trouble oh she going away now oh im going for throttle oh oh these instagram models oh i said they're nothing but trouble shes leading me on the round thats perfect but closing down im crying day you gone ain't taking it no more ain't taking it no more shes so good at playing cards but the minute she brings you joy shes showing you the door ain't taking it no more ain't taking it no more oh im facing the bottle oh for all of my problems oh these instagram models oh are nothing but trouble oh she going away now oh im going for throttle oh oh these instagram models oh i said they're nothing but trouble shes situated on her roof now so tired of waiting her turn and i ain't tryna go home can't take this no more ain't taking it no more and i never believed it would actually happen your body's so tempting my sweetest distraction lets get down on the floor cant take this no more cant take this no more oh oh oh oh oh im facing the bottle oh for all of my problems oh these instagram models oh are nothing but trouble oh she going away now oh im going for throttle oh oh these instagram models oh i said they're nothing but trouble hey hey hey hey hey hey hey hey,Charlie Puth,Instagram Models
what am i supposed to say i wanna look you in the eyes and tell you it's okay but i can't it hurts to know at the end of the day all i can do is hope hope to my core 'cause i don't know anymore thought that heroes don't fall out the sky that was before you got sick before they found out before when everything was perfect but now it's all upside down oh if god could grant me one wish for today i would take your pain let me take your place right now every night and every day you were fighting but you never showed it on your face i don't know what i would do baby i would be so lost if i ever lost you oh in my dreams there i used to see from a distance i'd watch you fly that was before you got sick before they found out before when everything was perfect but now it's all upside down oh if god could grant me one wish for today i would take your pain let me take your place right now i wanna hold all of your tears and use them all to wash away the hurt i wanna save you from your fears just to get you back the way you were before you got sick before when everything was perfect but now it's all upside down oh if god could grant me one wish for today i would take your pain i would take your place right now oh if god could grant me one wish for today i would take your pain i would take your place right now,Charlie Puth,Sick
don't you know i'm no good for you i've learned to lose you can't afford to tore my shirt to stop you bleedin' but nothin' ever stops you leavin' quiet when i'm coming home and i'm on my own i could lie say i like it like that like it like that i could lie say i like it like that like it like that don't you know too much already i'll only hurt you if you let me call me friend but keep me closer call me back and i'll call you when the party's over quiet when i'm coming home and i'm on my own and i could lie say i like it like that like it like that yeah i could lie say i like it like that like it like that but nothin' is better sometimes once we've both said our goodbyes let's just let it go let me let you go quiet when i'm coming home and i'm on my own i could lie say i like it like that like it like that i could lie say i like it like that like it like that,Billie Eilish,​when the party’s over
i had a dream i got everything i wanted not what you'd think and if i'm bein' honest it might've been a nightmare to anyone who might care thought i could fly fly so i stepped off the golden mm nobody cried cried cried cried cried nobody even noticed i saw them standing right there kinda thought they might care might care might care pre i had a dream i got everything i wanted but when i wake up i see you with me and you say as long as i'm here no one can hurt you don't wanna lie here but you can learn to if i could change the way that you see yourself you wouldn't wonder why you hear 'they don't deserve you' i tried to scream but my head was underwater they called me weak like i'm not just somebody's daughter coulda been a nightmare but it felt like they were right there and it feels like yesterday was a year ago but i don't wanna let anybody know 'cause everybody wants something from me now and i don't wanna let 'em down pre i had a dream i got everything i wanted but when i wake up i see you with me and you say as long as i'm here no one can hurt you don't wanna lie here but you can learn to if i could change the way that you see yourself you wouldn't wonder why you hear 'they don't deserve you' if i knew it all then would i do it again would i do it again if they knew what they said would go straight to my head what would they say instead if i knew it all then would i do it again would i do it again if they knew what they said would go straight to my head what would they say instead,Billie Eilish,​everything i wanted
white shirt now red my bloody nose sleepin' you're on your tippy toes creepin' around like no one knows think you're so criminal bruises on both my knees for you don't say thank you or please i do what i want when i'm wanting to my soul so cynical so you're a tough guy like it really rough guy just can't get enough guy chest always so puffed guy i'm that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type i'm the bad guy duh post i'm the bad guy i like it when you take control even if you know that you don't own me i'll let you play the role i'll be your animal my mommy likes to sing along with me but she won't sing this song if she reads all the lyrics she'll pity the men i know so you're a tough guy like it really rough guy just can't get enough guy chest always so puffed guy i'm that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type i'm the bad guy duh post i'm the bad guy duh i'm only good at bein' bad bad i like when you get mad i guess i'm pretty glad that you're alone you said she's scared of me i mean i don't see what she sees but maybe it's 'cause i'm wearing your cologne i'm a bad guy i'm i'm a bad guy bad guy bad guy i'm a bad,Billie Eilish,​bad guy
don't be that way fall apart twice a day i just wish you could feel what you say show never tell but i know you too well kind of mood that you wish you could sell if teardrops could be bottled there'd be swimming pools filled by models told a tight dress is what makes you a whore if i love you was a promise would you break it if you're honest tell the mirror what you know she's heard before i don't wanna be you anymore hands hands getting cold losing feeling is getting old was i made from a broken mold hurt i can't shake we've made every mistake only you know the way that i break if teardrops could be bottled there'd be swimming pools filled by models told a tight dress is what makes you a whore if i love you was a promise would you break it if you're honest tell the mirror what you know she's heard before i don't wanna be you i don't wanna be you i don't wanna be you anymore,Billie Eilish,​idontwannabeyouanymore
mehki raine billie billie eilish what do you want from me why don't you run from me what are you wondering what do you know why aren't you scared of me why do you care for me when we all fall asleep where do we go billie eilish mehki raine come here say it spit it out what is it exactly you're payin' is the amount cleanin' you out am i satisfactory today i'm thinkin' about the things that are deadly the way i'm drinkin' you down like i wanna drown like i wanna end me refrain billie eilish step on the glass staple your tongue ahh bury a friend try to wake up ahahh cannibal class killing the son ahh bury a friend i wanna end me pre billie eilish i wanna end me i wanna i wanna i wanna end me i wanna i wanna i wanna billie eilish what do you want from me why don't you run from me what are you wondering what do you know why aren't you scared of me why do you care for me when we all fall asleep where do we go billie eilish mehki raine listen keep you in the dark what had you expected me to make you my art and make you a star and get you connected i'll meet you in the park i'll be calm and collected but we knew right from the start that you'd fall apart 'cause i'm too expensive it's probably somethin' that shouldn't be said out loud honestly i thought that i would be dead by now wow calling security keepin' my head held down bury the hatchet or bury a friend right now billie eilish mehki raine the debt i owe gotta sell my soul 'cause i can't say no no i can't say no then my limbs all froze and my eyes won't close and i can't say no i can't say no careful refrain billie eilish step on the glass staple your tongue ahh bury a friend try to wake up ahahh cannibal class killing the son ahh bury a friend i wanna end me pre billie eilish i wanna end me i wanna i wanna i wanna end me i wanna i wanna i wanna billie eilish what do you want from me why don't you run from me what are you wondering what do you know why aren't you scared of me why do you care for me when we all fall asleep where do we go,Billie Eilish,​bury a friend
it's not true tell me ive been lied to crying isn't like you ooh what the hell did i do never been the type to let someone see right through ooh maybe won't you take it back say you were tryna make me laugh and nothing has to change today you didnt mean to say i love you i love you and i don't want to ooh up all night on another redeye i wish we never learned to fly maybe we should just try to tell ourselves a good lie didn't mean to make you cry maybe won't you take it back say you were tryna make me laugh and nothing has to change today you didn't mean to say i love you i love you and i don't want to ooh the smile that you gave me even when you felt like dying we fall apart as it gets dark i'm in your arms in central park there's nothing you could do or say i cant escape the way i love you i dont want to but i love you ooh ooh ooh ooh ooh,Billie Eilish,​i love you
baby i don't feel so good six words you never understood i'll never let you go five words you'll never say aww i laugh along like nothing's wrong four days has never felt so long if three's a crowd and two was us one slipped away hahahahahahahaha i just wanna make you feel okay but all you do is look the other way i can't tell you how much i wish i didn't wanna stay i just kinda wish you were gay is there a reason we're not through is there a step just for you our conversation's all in blue heys hey hey hey hey ten fingers tearin' out my hair nine times you never made it there i ate alone at 7 you were six minutes away yay how am i supposed to make you feel okay when all you do is walk the other way i can't tell you how much i wish i didn't wanna stay i just kinda wish you were gay to spare my pride to give your lack of interest an explanation don't say i'm not your type just say that i'm not your preferred sexual orientation i'm so selfish but you make me feel helpless yeah and i can't stand another day stand another day i just wanna make you feel okay but all you do is look the other way hmm i can't tell you how much i wish i didn't wanna stay i just kinda wish you were gay i just kinda wish you were gay i just kinda wish you were gay,Billie Eilish,​wish you were gay
i should have known i'd leave alone just goes to show that the blood you bleed is just the blood you owe we were a pair but i saw you there too much to bear you were my life but life is far away from fair was i stupid to love you was i reckless to help was it obvious to everybody else that i'd fallen for a lie you were never on my side fool me once fool me twice are you death or paradise now you'll never see me cry there's just no time to die i let it burn you're no longer my concern mmm faces from my past return another lesson yet to learn that i'd fallen for a lie you were never on my side fool me once fool me twice are you death or paradise now you'll never see me cry there's just no time to die refrain no time to die mmm no time to die ooh fool me once fool me twice are you death or paradise now you'll never see me cry there's just no time to die,Billie Eilish,No Time To Die
i've been watchin' you for some time can't stop starin' at those ocean eyes burning cities and napalm skies fifteen flares inside those ocean eyes your ocean eyes no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes i've been walkin' through a world gone blind can't stop thinkin' of your diamond mind careful creature made friends with time he left her lonely with a diamond mind and those ocean eyes no fair no fair you really know how to make me cry when you give me those ocean eyes those ocean eyes i'm scared i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes seye naeco esoht seye naeco ruoy otni 'nillaf dadadadada dadadadada hgih siht etiuq morf nellaf reven ev'i deracs m'i dadadadadada dadada seye naeco esoht em evig uoy nehw mmm yrc em ekam ot woh wonk yllaer uoy mmm riaf on no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes,Billie Eilish,​​ocean eyes
i'm not your friend or anything damn you think that you're the man i think therefore i am i'm not your friend or anything damn you think that you're the man i think therefore i am stop what the hell are you talking about ha get my pretty name out of your mouth we are not the same with or without don't talk 'bout me like how you might know how i feel top of the world but your world isn't real your world's an ideal pre so go have fun i really couldn't care less and you can give 'em my best but just know i'm not your friend or anything damn you think that you're the man i think therefore i am i'm not your friend or anything damn you think that you're the man i think therefore i am i don't want press to put your name next to mine we're on different lines so i wanna be nice enough they don't call my bluff 'cause i hate to find articles articles articles rather you remain unremarkable got a lotta interviews interviews interviews when they say your name i just act confused pre did you have fun i really couldn't care less and you can give 'em my best but just know i'm not your friend or anything damn you think that you're the man i think therefore i am i'm not your friend or anything damn you think that you're the man i think therefore i am i'm sorry i don't think i caught your name i'm sorry i don't think i caught your name i'm not your friend i'm not your friend or anything damn you think that you're the man they wanna they can try i think therefore i am i am i'm not your friend friend or anything damn they wanna you think that you're the man you're the man i think therefore i am therefore i am,Billie Eilish,Therefore I Am
mind mind sittin' all alone mouth full of gum in the driveway my friends aren't far in the back of my car lay their bodies pre where's my mind where's my mind they'll be here pretty soon lookin' through my room for the money i'm bitin' my nails i'm too young to go to jail it's kinda funny pre where's my mind where's my mind where's my mind where's my mind maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache mind everything i do the way i wear my noose like a necklace i wanna make 'em scared like i could be anywhere like i'm reckless pre i lost my mind i don't mind where's my mind where's my mind maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache bellyache bellyache bellyache bellyache bellyache bellyache maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache,Billie Eilish,​bellyache
bite my tongue bide my time wearing a warning sign wait 'til the world is mine visions i vandalize cold in my kingdom size fell for these ocean eyes you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one count my cards watch them fall blood on a marble wall i like the way they all scream tell me which one is worse living or dying first sleeping inside a hearse i don't dream you say come over baby i think you're pretty i'm okay i'm not your baby if you think i'm pretty you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one break crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown you should see me see me your silence is my favorite sound you should see me see me watch me make 'em bow one by one by one one by one by one,Billie Eilish,​you should see me in a crown
i can't seem to focus and you don't seem to notice i'm not here i'm just a mirror you check your complexion to find your reflection's all alone i had to go pre can't you hear me i'm not comin' home do you understand i've changed my plans 'cause i i'm in love with my future can't wait to meet her and i i i'm in love but not with anybody else just wanna get to know myself i know supposedly i'm lonely now lonely now know i'm supposed to be unhappy without someone someone but aren't i someone aren't i someone yeah i'd i'd like to be your answer be your answer 'cause you're so handsome you're so handsome pre but i know better than to drive you home 'cause you'd invite me in and i'd be yours again but i i i'm in love love love love love with my future and you don't know her ooh and i i'm in love love love but not with anybody here i'll see you in a couple years,Billie Eilish,​my future
my lucifer is lonely standing there killing time can't commit to anything but a crime peter's on vacation an open invitation animals evidence pearly gates look more like a picket fence once you get inside 'em got friends but can't invite them pre hills burn in california my turn to ignore ya don't say i didn't warn ya all the good girls go to hell 'cause even god herself has enemies and once the water starts to rise and heaven's out of sight she'll want the devil on her team post my lucifer is lonely look at you needing me you know i'm not your friend without some greenery walk in wearin' fetters peter should know better your cover up is caving in man is such a fool why are we saving him poisoning themselves now begging for our help wow pre hills burn in california my turn to ignore ya don't say i didn't warn ya all the good girls go to hell all the good girls go to hell 'cause even god herself god herself has enemies and once the water starts to rise water starts to rise and heaven's out of sight she'll want the devil on her team post my lucifer is lonely there's nothing left to save now my god is gonna owe me there's nothing left to save now haha i cannot do the snowflake,Billie Eilish,​all the good girls go to hell
what is it about them i must be missing something they just keep doing nothing too intoxicated to be scared better off without them they're nothing but unstable bring ashtrays to the table and that's about the only thing they share i'm in their secondhand smoke still just drinking canned coke i don't need a xanny to feel better on designated drives home only one who's not stoned don't give me a xanny now or ever interlude can you check your uber rating oh my god and it's like wait like when wakin' up at sundown ooh they're late to every party ooh nobody's ever sorry ooh too inebriated now to dance morning as they come down come down their pretty heads are hurting hurting they're awfully bad at learning learning make the same mistakes blame circumstance i'm in their secondhand smoke still just drinking canned coke i don't need a xanny to feel better on designated drives home only one who's not stoned don't give me a xanny now or ever please don't try to kiss me on the sidewalk on your cigarette break i can't afford to love someone who isn't dying by mistake in silver lake what is it about them i must be missing something they just keep doin' nothing too intoxicated to be scared hmm hmm hmm mmm mmm mmm mmm come down hurting learning,Billie Eilish,​xanny
don't be cautious don't be kind you committed i'm your crime push my button anytime you got your finger on the trigger but your trigger finger's mine silver dollar golden flame dirty water poison rain perfect murder take your aim i don't belong to anyone but everybody knows my name pre by the way you've been uninvited 'cause all you say are all the same things i did copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamour why so sad bunny can't have mine call me calloused call me cold you're italic i'm in bold call me cocky watch your tone you better love me 'cause you're just a clone pre by the way you've been uninvited 'cause all you say are all the same things i did copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamour why so sad bunny can't have mine mine i would hate to see you go hate to be the one that told you so you just crossed the line you've run out of time i'm so sorry now you know sorry i'm the one that told you so sorry sorry i'm sorry sorry psych pre by the way you've been uninvited 'cause all you say are all the same things i did copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamour why so sad bunny can't have mine,Billie Eilish,COPYCAT
told you not to worry but maybe that's a lie honey what's your hurry won't you stay inside remember not to get too close to stars they're never gonna give you love like ours where did you go i should know but it's cold and i don't wanna be lonely so show me the way home i can't lose another life refrain hurry i'm worried the world's a little blurry or maybe it's my eyes the friends i've had to bury they keep me up at night said i couldn't love someone 'cause i might break if you're gonna die not by mistake so where did you go i should know but it's cold and i don't wanna be lonely so tell me you'll come home even if it's just a lie i tried not to upset you let you rescue me the day i met you i just wanted to protect you but now i'll never get to refrain hurry i'm worried where did you go i should know but it's cold and i don't wanna be lonely was hoping you'd come home i don't care if it's a lie,Billie Eilish,​ilomilo
take me to the rooftop i wanna see the world when i stop breathing turnin' blue tell me love is endless don't be so pretentious leave me like you do like you do pre if you need me wanna see me better hurry 'cause i'm leavin' soon sorry can't save me now sorry i don't know how sorry there's no way out sorry but down hmm down taste me the salty tears on my cheek that's what a yearlong headache does to you i'm not okay i feel so scattered don't say i'm all that matters leave me déjà vu hmm pre if you need me wanna see me you better hurry i'm leavin' soon sorry can't save me now sorry sorry i don't know how sorry sorry there's no way out sorry but down hmm down call my friends and tell them that i love them and i'll miss them but i'm not sorry call my friends and tell them that i love them and i'll miss them sorry,Billie Eilish,​listen before i go
no billy i haven't done that dance since my wife died theres a whole crowd of people out there who need to learn how to do the scarn don't ask questions you don't wanna know learned my lesson way too long ago to be talkin to you belladonna shoulda taken a break not an oxford comma take what i want when i wanna and i want ya pre bad bad news one of us is gonna lose i'm the powder you're the fuse just add some friction you are my strange addiction you are my strange addiction my doctors can't explain my symptoms or my pain but you are my strange addiction interlude i'm really really sorry i think i was just relieved to see that michael scarn got his confidence back yeah michael the movie is amazing it's like one of the best movies i've ever seen in my life deadly fever please don't ever break be my reliever cause i dont self medicate and it burns like a gin and i like it put your lips on my skin and you might ignite it hurts but i know how to hide it kinda like it teh pre bad bad news one of us is gonna lose i'm the powder youre the fuse just add some friction you are my strange addiction you are my strange addiction my doctors can't explain my symptoms or my pain but you are my strange addiction bite my glass set myself on fire can't you tell i'm crass cant you tell i'm wired tell me nothing lasts like i don't know you could kiss my asking about my motto interlude you should enter it in festivals or carnivals thoughts pretty good reaction pretty cool right you are my strange addiction you are my strange addiction my doctors can't explain my symptoms or my pain but you are my strange addiction did you like it did you like that um which part,Billie Eilish,​my strange addiction
lips meet teeth and tongue my heart skips eight beats at once if we were meant to be we would have been by now see what you wanna see but all i see is him right now i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out go ahead and watch my heart burn with the fire that you started in me but i'll never let you back to put it out your love feels so fake and my demands aren't high to make if i could get to sleep i would have slept by now your lies will never keep i think you need to blow 'em out i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out go ahead and watch my heart burn with the fire that you started in me but i'll never let you back to put it out when you call my name do you think i'll come runnin' you never did the same so good at givin' me nothin' when you close your eyes do you picture me when you fantasize am i your fantasy now you know now i'm free i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out watch my heart burn with the fire that you started in me but i'll never let you back to put it out never let you back let you back let you back never gonna let you back let you back,Billie Eilish,​watch
i wanna be alone alone with you does that make sense i wanna steal your soul and hide you in my treasure chest i don't know what to do to do with your kiss on my neck i don't know what feels true but this feels right so stay a sec yeah you feel right so stay a sec and let me crawl inside your veins i'll build a wall give you a ball and chain it's not like me to be so mean you're all i wanted just let me hold you like a hostage gold on your fingertips fingertips against my cheek gold leaf across your lips kiss me until i can't speak gold chain beneath your shirt the shirt that you let me wear home gold's fake and real love hurts but nothing hurts when i'm alone when you're with me and we're alone and let me crawl inside your veins i'll build a wall give you a ball and chain it's not like me to be so mean you're all i wanted just let me hold you hold you like a hostage like a hostage,Billie Eilish,​hostage
three and four and babada babadabada mmm mmm my boy's bein' sus he was shady enough but now he's just a shadow my boy loves his friends like i love my split ends and by that i mean he cuts 'em off what my boy my boy my boy don't love me like he promised my boy my boy my boy he ain't a man and sure as hell ain't honest my boy's bein' sus and he don't know how to cuss he just sounds like he's tryna be his father who are you my boy's an ugly crier but he's such a pretty liar and by that i mean he said he'd change my boy my boy my boy don't love me like he promised my boy my boy my boy he ain't a man and sure as hell ain't honest my boy mymy boy my friends i lovelove ii lovelove my split ends my boy love love love love love love mymy boy love love love love love love my boy my love love love love love love love love alright dude go trip over a knife my boy my boy my boy don't love me like he promised my boy my boy my boy he ain't a man and sure as hell ain't honest you want me to be yours well then you gotta be mine and if you want a good girl then goodbye you want me to be yours well then you gotta be mine and if you want a good girl then goodbye,Billie Eilish,​my boy
help i lost myself again but i remember you don't come back it won't end well but i wish you'd tell me to our love is six feet under i can't help but wonder if our grave was watered by the rain would roses bloom could roses bloom again retrace my lips erase your touch it's all too much for me blow away like smoke in air how can you die carelessly our love is six feet under i can't help but wonder if our grave was watered by the rain would roses bloom could roses bloom they're playin' our sound layin' us down tonight and all of these clouds crying us back to life but you're cold as a knife six feet under i can't help but wonder if our grave was watered by the rain bloom bloom again help i lost myself again but i remember you,Billie Eilish,Six Feet Under
wait a minute let me finish i know you don't care but can you listen i came committed guess i overdid it wore my heart out on a chain around my neck but now it's missin' hmm refrain dadadadadada hmm dadadadadadada hmm hmm hmm hmm oh hmm hmm so i think i better go i never really know how to please you you're lookin' at me like i'm seethrough i guess i'm gonna go i just never know how you feel do you even feel anything refrain dadadadadadada dadadadadadada oh hmm hmm you said don't treat me badly but you said it so sadly so i did the best i could not thinkin' you would have left me gladly i know you're not sorry why should you be 'cause who am i to be in love when your love never is for me me refrain dadadadadadada hmm dadadadadadada hmm hmm hmm hmm oh hmm hmm so i think i better go i never really know how to please you you're lookin' at me like i'm seethrough i guess i'm gonna go i just never know how you feel do you even feel anything,Billie Eilish,8
you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me oh what a shame i'm not there you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me well what a shame i'm not there what is it you want you can lie but i know that you're not fine every time you talk it's all 'bout me but you swear i'm not on your mind you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me oh what a shame i'm not there everybody knows you and i are suicide and stolen art art pretty mama sews stitches into all your bitches broken hearts you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me oh what a shame i'm not there somebody new is gonna comfort you like you want me to somebody new is gonna comfort me like you never do every now and then it hits me that i'm the one that got away but i guess being lonely fits me and you were made for begging stay,Billie Eilish,​bitches broken hearts
hmmmm wake up and smell the coffee is your cup half full or empty when we talk you say it softly but i love it when you're awfully quiet hmmmm quiet hmmmm pre you see the piece of paper could be a little greater show me what you could make her you'll never know until you try it hmmmm and you don't have to keep it quiet and i know it makes you nervous but i promise you it's worth it to show 'em everything you kept inside don't hide don't hide too shy to say but i hope you stay don't hide away come out and play look up out of your window see snow won't let it in though leave home feel the wind blow 'cause it's colder here inside in silence and you don't have to keep it quiet yeah i know it makes you nervous but i promise you it's worth it to show 'em everything you kept inside don't hide don't hide too shy to say but i hope you stay don't hide away come out and play,Billie Eilish,​​come out and play
hey leave a message hey call me back when ya get this or when you've got a minute we really need to talk wait you know what maybe just forget it 'cause by the time you get this your number might be blocked pre stay and blah blah blah you just want what you can't have no way i'll call the cops if you don't stop i'll call your dad and i hate to do this to you on your birthday happy birthday by the way it's not you it's me and all that other bullshit you know that's bullshit don'tcha babe i'm not your party favor look now i know we coulda done it better but we can't change the weather when the weather's come and gone books don't make sense if you read 'em backwards you'll single out the wrong words like you mishear all my songs pre you'll hear stay and blah blah blah you just want what you can't have no way i'll call the cops if you don't stop i'll call your dad and i hate to do this to you on your birthday happy birthday by the way it's not you it's me and all that other bullshit you know that's bullshit don'tcha babe i'm not your party favor,Billie Eilish,​​party favor
our time is up your eyes are shut i won't get to tell you what i needed you to know it's dark enough the moonlight doesn't show and all my love could never bring you home there's no more stars to find and i'm too far behind and i'd love to let you go i'd love to let you go you're all that's on my mind i called a thousand times and i have to let you go but i love you more and more than you could know i sat alone awaited your reply was driven home when i started to cry i should've known i should've said goodbye i only hoped i would've had more time there's no more stars to find and i'm too far behind and i'd love to let you go i'd love to let you go you're always on my mind when i called a thousand times and i have to let you go but i love you more and more than you could knowoh ohuhuhuhuhuhuhuh dadadadada dadarada we're both too young to live and die this way a sunny summer day with so much left to say not the 8th out of pain the day you couldn't stay you made me wanna pray but i think god's fake there's no more stars to find and i'm too far behind and i'd love to let you go i'd love to let you go you're all that's on my mind when i called a thousand times and i have to let you go but i love you more and more and more and more and more more and more more and more and more than you will ever know you will never know you will never know,Billie Eilish,6.18.18*
please please don't leave me be verse it's not true take me to the rooftop told you not to worry what do you want from me don't ask questions wait a minute don't you know i'm no good for you baby i don't feel so good and all the good girls go to hell bite my tongue bide my time what is it about them i'm the bad guy,Billie Eilish,​goodbye
aah aah the games you played were never fun you'd say you'd stay but then you'd run aah pre giving you what you're begging for giving you what you say i need i don't want any settled scores i just want you to set me free giving you what you're begging for giving you what you say i need say i need i'm not afraid anymore what makes you sure you're all i need i need forget about it when you walk out the door and leave me torn you're teaching me to live without it bored i'm so bored i'm so bored so bored i'm home alone you're godknowswhere i hope you don't think that shit's fair aah pre giving you all you want and more giving you every piece of me i don't want love i can't afford i just want you to love for free can't you see that i'm getting bored giving you every piece of me piece of me i'm not afraid anymore what makes you sure you're all i need forget about it when you walk out the door and leave me torn you're teaching me to live without it bored i'm so bored i'm so bored so bored pre giving you what you're begging for giving you what you say i need i don't want any settled scores i just want you to set me free giving you what you're begging for giving you what you say i need say i need i'm not afraid anymore what makes you sure you're all i need forget about it and when you walk out the door and leave me torn you're teaching me to live without it,Billie Eilish,Bored
